index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024640.1,1,1422,4,1374,96.6245,3.53938,39.9,11.8,61645,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,3.5393811533052,0.985216071499242,0.278358286046478,0.03,WOL-70-DRS-L157
1,NR_024815.1,1,1490,2,1392,93.4228,1.84027,36.9,1,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,1.84026845637584,0.515693207859353,0.280227162549393,0.01,WOL-70-DRS-L157
2,NR_025230.1,1,1411,6,1351,95.7477,5.13891,36,1.67,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,5.13890857547838,1.76184419803808,0.342844044053473,0.04,WOL-70-DRS-L157
3,NR_025300.1,1,1495,1,1237,82.7425,0.827425,35.1,1,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,0.82742474916388,0.378006099555805,0.456846498654752,0.01,WOL-70-DRS-L157
4,NR_025452.1,1,1380,1,1047,75.8696,0.758696,41,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.758695652173913,0.428029578327327,0.564165060259515,0.01,WOL-70-DRS-L157
5,NR_025514.1,1,1518,70,1406,92.6219,62.7055,37.8,11.5,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,62.7055335968379,18.2706772997054,0.291372646905069,0.48,WOL-70-DRS-L157
6,NR_025518.1,1,1494,1,1335,89.3574,0.893574,39.9,30,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.893574297188755,0.308484958075782,0.34522586319492,0.01,WOL-70-DRS-L157
7,NR_025525.1,1,1475,2,1350,91.5254,1.75932,36.7,23.5,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.75932203389831,0.593702433377905,0.337460920706131,0.01,WOL-70-DRS-L157
8,NR_025567.1,1,1498,4,1386,92.5234,3.67623,37.9,18.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,3.6762349799733,1.06438486482677,0.289531237971765,0.03,WOL-70-DRS-L157
10,NR_025934.1,1,1470,1,1390,94.5578,0.945578,42.1,60,2718,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,0.945578231292517,0.226925253020478,0.239985699237484,0.01,WOL-70-DRS-L157
